DateTime,Phosphorous,Potassium,Food
1/1/2024 16:00,140,402,
1/2/2024 0:06,117,165,
1/3/2024 0:27,118,442,
1/4/2024 5:05,116,425,
1/5/2024 21:33,146,200,
1/6/2024 6:24,113,396,
1/7/2024 14:55,136,154,
1/8/2024 20:02,56,260,
1/9/2024 15:58,128,165,
1/10/2024 15:13,71,340,
1/11/2024 21:49,50,174,
1/12/2024 21:54,110,429,
1/13/2024 1:05,63,231,
1/14/2024 15:58,55,312,
1/15/2024 18:39,118,162,
1/16/2024 3:26,56,257,
1/17/2024 21:23,141,169,
1/18/2024 13:20,56,454,
1/19/2024 12:19,91,231,
1/20/2024 10:11,124,472,
1/21/2024 10:56,106,385,
1/22/2024 1:26,146,153,
1/23/2024 23:05,67,358,
1/24/2024 19:54,75,452,
1/25/2024 9:26,75,473,
1/26/2024 9:26,85,187,
1/27/2024 15:45,138,413,
1/28/2024 18:34,56,385,
1/29/2024 16:43,108,172,
1/30/2024 19:30,86,290,
1/31/2024 2:29,75,467,
2/1/2024 20:08,90,387,
2/2/2024 13:31,142,211,
2/3/2024 6:27,94,199,
2/4/2024 3:35,134,288,
2/5/2024 21:05,100,238,
2/6/2024 1:32,102,196,
2/7/2024 9:35,73,241,
2/8/2024 4:33,92,350,
2/9/2024 11:45,87,349,
2/10/2024 17:53,78,457,
2/11/2024 19:35,135,470,
2/12/2024 3:19,140,404,
2/13/2024 20:54,135,156,
2/14/2024 1:31,120,398,
2/15/2024 20:02,111,130,
2/16/2024 4:32,115,476,
2/17/2024 19:10,88,156,
2/18/2024 16:38,135,228,
2/19/2024 12:31,83,167,
2/20/2024 20:42,91,434,
2/21/2024 23:12,94,194,
2/22/2024 8:23,52,374,
2/23/2024 18:38,140,377,
2/24/2024 1:45,66,406,
2/25/2024 15:38,109,147,
2/26/2024 13:46,70,184,
2/27/2024 5:40,113,176,
2/28/2024 9:00,128,359,
2/29/2024 7:02,97,336,
3/1/2024 1:08,122,136,
3/2/2024 11:09,120,301,
3/3/2024 15:59,58,476,
3/4/2024 0:25,109,428,
3/5/2024 3:46,141,369,
3/6/2024 8:01,91,454,
3/7/2024 9:32,104,444,
3/8/2024 17:30,132,487,
3/9/2024 2:11,74,433,
3/10/2024 10:25,118,115,
3/11/2024 14:41,112,442,
3/12/2024 14:41,146,221,
3/13/2024 13:50,91,429,
3/14/2024 7:16,88,110,
3/15/2024 19:47,69,286,
3/16/2024 13:48,143,455,
3/17/2024 6:10,98,272,
3/18/2024 21:56,64,253,
3/19/2024 17:32,118,295,
3/20/2024 23:34,121,273,
3/21/2024 16:55,135,279,
3/22/2024 20:05,57,340,
3/23/2024 2:33,127,257,
3/24/2024 9:28,112,111,
3/25/2024 19:16,135,296,
3/26/2024 7:30,133,304,
3/27/2024 2:02,128,383,
3/28/2024 7:50,128,380,
3/29/2024 18:41,115,391,
3/30/2024 1:07,85,182,
3/31/2024 20:45,125,446,
4/1/2024 4:25,59,430,
4/2/2024 12:17,122,256,
4/3/2024 7:23,123,498,
4/4/2024 20:41,81,496,
4/5/2024 3:30,72,302,
4/6/2024 1:04,89,153,
4/7/2024 12:08,107,192,
4/8/2024 3:12,101,449,
4/9/2024 6:54,77,300,
4/10/2024 17:30,53,175,
4/11/2024 7:17,78,248,
4/12/2024 14:41,57,205,
4/13/2024 5:43,59,148,
4/14/2024 10:15,134,156,
4/15/2024 23:39,127,280,
4/16/2024 17:46,135,170,
4/17/2024 2:49,57,433,
4/18/2024 6:20,52,148,
4/19/2024 20:36,99,116,
4/20/2024 23:52,65,301,
4/21/2024 2:31,95,420,
4/22/2024 16:26,97,107,
4/23/2024 12:03,65,153,
4/24/2024 23:54,97,135,
4/25/2024 22:45,123,411,
4/26/2024 14:43,149,349,
4/27/2024 5:53,67,381,
4/28/2024 12:25,59,467,
4/29/2024 18:53,140,125,
4/30/2024 3:18,86,263,
5/1/2024 6:25,106,392,
5/2/2024 10:45,59,162,
5/3/2024 18:50,71,374,
5/4/2024 4:43,107,377,
5/5/2024 2:41,68,121,
5/6/2024 9:48,87,330,
5/7/2024 8:11,119,414,
5/8/2024 6:25,61,241,
5/9/2024 0:29,52,248,
5/10/2024 17:55,85,357,
5/11/2024 7:38,106,422,
5/12/2024 17:15,65,367,
5/13/2024 1:50,101,194,
5/14/2024 9:26,148,285,
5/15/2024 2:57,124,125,
5/16/2024 2:18,57,101,
5/17/2024 13:44,92,134,
5/18/2024 14:01,61,404,
5/19/2024 14:26,124,132,
5/20/2024 18:00,145,104,
5/21/2024 22:09,119,168,
5/22/2024 10:53,66,306,
5/23/2024 16:23,120,373,
5/24/2024 1:23,106,335,
5/25/2024 17:56,52,147,
5/26/2024 2:25,115,192,
5/27/2024 4:51,66,152,
5/28/2024 11:44,75,421,
5/29/2024 2:28,98,292,
5/30/2024 8:19,130,419,
5/31/2024 11:14,117,131,
6/1/2024 23:05,78,171,
6/2/2024 6:10,105,245,
6/3/2024 1:19,148,132,
6/4/2024 15:25,64,498,
6/5/2024 21:55,123,349,
6/6/2024 2:24,78,228,
6/7/2024 20:00,104,111,
6/8/2024 1:26,63,171,
6/9/2024 6:28,136,140,
6/10/2024 14:23,144,336,
6/11/2024 14:27,80,495,
6/12/2024 2:02,116,465,
6/13/2024 18:46,141,431,
6/14/2024 23:12,128,364,
6/15/2024 15:49,68,162,
6/16/2024 10:16,67,288,
6/17/2024 1:48,56,129,
6/18/2024 13:20,123,103,
6/19/2024 11:34,139,123,
6/20/2024 1:58,67,349,
6/21/2024 15:56,56,181,
6/22/2024 0:55,113,148,
6/23/2024 22:26,75,263,
6/24/2024 11:41,134,468,
6/25/2024 19:32,72,458,
6/26/2024 4:34,67,179,
6/27/2024 8:17,81,295,
6/28/2024 1:03,103,261,
6/29/2024 3:06,124,155,
6/30/2024 14:10,94,474,
7/1/2024 23:44,120,428,
7/2/2024 18:31,51,244,
7/3/2024 4:48,125,115,
7/4/2024 0:17,135,195,
7/5/2024 16:51,80,478,
7/6/2024 15:00,101,230,
7/7/2024 14:31,83,303,
7/8/2024 23:14,110,244,
7/9/2024 16:03,142,419,
7/10/2024 21:26,111,186,
7/11/2024 14:02,133,263,
7/12/2024 18:56,100,442,
7/13/2024 17:19,96,118,
7/14/2024 5:50,73,423,
7/15/2024 21:31,126,275,
7/16/2024 16:26,148,253,
7/17/2024 17:12,51,476,
7/18/2024 10:02,53,467,
7/19/2024 2:25,60,200,
7/20/2024 17:46,93,186,
7/21/2024 22:25,103,154,
7/22/2024 2:28,80,339,
7/23/2024 15:57,101,110,
7/24/2024 13:25,126,306,
7/25/2024 9:58,51,304,
7/26/2024 6:23,99,452,
7/27/2024 15:45,97,393,
7/28/2024 20:33,106,326,
7/29/2024 13:31,54,201,
7/30/2024 13:51,109,201,
7/31/2024 6:18,70,443,
8/1/2024 11:55,64,191,
8/2/2024 13:22,110,228,
8/3/2024 10:07,148,469,
8/4/2024 9:15,96,310,
8/5/2024 19:26,89,229,
8/6/2024 11:36,141,439,
8/7/2024 15:39,131,389,
8/8/2024 3:47,115,251,
8/9/2024 4:19,88,226,
8/10/2024 0:02,68,123,
8/11/2024 17:28,106,458,
8/12/2024 19:20,91,295,
8/13/2024 23:02,73,457,
8/14/2024 16:04,80,434,
8/15/2024 20:58,143,470,
8/16/2024 1:16,102,297,
8/17/2024 4:17,114,125,
8/18/2024 9:54,142,366,
8/19/2024 9:56,84,310,
8/20/2024 3:23,115,321,
8/21/2024 17:22,102,219,
8/22/2024 10:15,91,175,
8/23/2024 23:01,121,264,
8/24/2024 3:59,129,208,
8/25/2024 15:18,98,112,
8/26/2024 3:10,76,188,
8/27/2024 4:12,134,337,
8/28/2024 3:22,82,271,
8/29/2024 17:28,125,131,
8/30/2024 22:59,64,381,
8/31/2024 16:45,85,327,
9/1/2024 0:55,119,213,
9/2/2024 18:14,93,126,
9/3/2024 14:01,134,154,
9/4/2024 9:33,106,116,
9/5/2024 1:15,89,273,
9/6/2024 0:56,73,129,
9/7/2024 20:08,108,198,
9/8/2024 2:56,52,179,
9/9/2024 14:06,125,463,
9/10/2024 2:08,66,467,
9/11/2024 11:10,52,309,
9/12/2024 18:27,117,207,
9/13/2024 5:41,107,138,
9/14/2024 4:03,111,189,
9/15/2024 8:54,98,236,
9/16/2024 20:32,111,141,
9/17/2024 20:21,100,462,
9/18/2024 3:22,114,294,
9/19/2024 17:56,129,283,
9/20/2024 13:49,58,427,
9/21/2024 8:17,93,326,
9/22/2024 22:43,124,412,
9/23/2024 14:40,92,261,
9/24/2024 14:53,123,244,
9/25/2024 13:29,139,223,
9/26/2024 9:11,136,308,
